text,label,risk_level
hang going I'm I'm tonight. tonight.,suicidal,high
"I've been giving away my things lately, won't need them soon.",suicidal,high
I wish I could just disappear forever.,suicidal,high
I have a plan to end my life.,suicidal,high
bridge the jump tonight. I'm I'm I'm bridge,suicidal,high
"I want to kill myself, I can't take it anymore.",suicidal,high
to going myself weekend. I'm myself this,suicidal,high
"I've tried everything, nothing helps, I want to die.",suicidal,high
continue I see don't don't pointless. everything to pointless. is everything,suicidal,high
my my made I've all. peace to it decision decision,suicidal,high
been ready. I've I'm when I'm I'm when,suicidal,high
living. I of of point of see living.,suicidal,high
would would I miss if Nobody gone. miss,suicidal,high
to wake and and up. sleep I want sleep,suicidal,high
"longer, pain it it any bear this to this I I end.",suicidal,high
been I've kill myself. myself. myself. to,suicidal,high
I've been researching ways to kill myself.,suicidal,high
"I'm sorry for what I'm about to do, but I can't go on.",suicidal,high
up. I wake I I to to up. want,suicidal,high
"I don't see any reason to continue living, everything is pointless.",suicidal,high
"sorry I for but on. do, sorry what to for to I'm I'm",suicidal,high
the tonight. jump to going jump jump tonight.,suicidal,high
been time. myself time. I've myself time.,suicidal,high
I any pointless. is I pointless. to see reason to continue,suicidal,high
I just want to sleep and never wake up.,suicidal,high
to tried tried nothing to I tried die. I,suicidal,high
shoot myself going to I'm going shoot,suicidal,high
I've made peace with my decision to end it all.,suicidal,high
and worthless live. to don't to I'm,suicidal,high
myself I'm going going tonight. hang,suicidal,high
"them away giving lately, soon. been I've soon. them giving need",suicidal,high
to up. and sleep wake want up. up. want,suicidal,high
day waking same waking the up same pain. up up the,suicidal,high
no of living. no see of I see,suicidal,high
suicide been lately. been thinking a about suicide,suicidal,high
Life meaning has no me meaning for,suicidal,high
goodbye about. written care I to to letters I've,suicidal,high
miss gone. Nobody was I miss was me,suicidal,high
"medication, tried I've works, therapy I'm and tried therapy",suicidal,high
"tonight, end end life I'm my tonight, end to written I'm",suicidal,high
I pain I to to just just stop,suicidal,high
of waking every I'm the tired of pain. tired up waking,suicidal,high
could could forever. I I I disappear,suicidal,high
"living, any everything see continue reason everything reason see see reason",suicidal,high
I've set a date for my suicide.,suicidal,high
a feel burden me. like a a to feel feel,suicidal,high
to deserve don't I'm to to deserve,suicidal,high
"can't myself, it I kill to it kill to I",suicidal,high
life. to have a end a end to,suicidal,high
I feel like I'm a burden to everyone around me.,suicidal,high
I'm going to jump off the bridge tonight.,suicidal,high
I'm worthless and don't deserve to live.,suicidal,high
a burden burden to be family my burden family to be family,suicidal,high
I pain forever. this this just this to,suicidal,high
a my my for set date a,suicidal,high
going shoot this I'm myself I'm this,suicidal,high
"sorry I can't but I'm about to I I to to do, go",suicidal,high
"tried nothing done. done. therapy works, I'm I've tried",suicidal,high
"tonight, note. I'm planning my end my I've planning written end",suicidal,high
ready. been I'm stockpiling for when when I've,suicidal,high
I've written goodbye letters to everyone I care about.,suicidal,high
I'm the off off going to bridge to,suicidal,high
I've everyone written care written letters to I've about.,suicidal,high
anymore. me for me anymore. Life Life,suicidal,high
thinking lot lot I've I've thinking about about,suicidal,high
I just want this pain to stop forever.,suicidal,high
I'm a failure and everyone would be better off without me.,suicidal,high
without without and family without without family my I'm to my to,suicidal,high
decision with decision end peace with end decision with made,suicidal,high
I'm going to hang myself tonight.,suicidal,high
"I've to to everything, everything, everything, want tried helps,",suicidal,high
I no longer see the point of living.,suicidal,high
to kill I've researching myself. to I've,suicidal,high
them things my things need I've things been been them things,suicidal,high
set my my set a a set,suicidal,high
to I'm like burden me. to I everyone me. I'm,suicidal,high
see see living. the longer longer no no,suicidal,high
cutting time. I've cutting each I've time.,suicidal,high
I Nobody me would was miss miss me,suicidal,high
pain. day every day of to tired every I'm day up,suicidal,high
I've been stockpiling pills for when I'm ready.,suicidal,high
Life has no meaning for me anymore.,suicidal,high
"note. my end tonight, written planning written my end I've to",suicidal,high
"I can't bear this pain any longer, I need it to end.",suicidal,high
Nobody would miss me if I was gone.,suicidal,high
better burden my they'll my be burden me. family without without without,suicidal,high
can't can't I need this any bear to bear bear pain need,suicidal,high
failure and off failure off and me. I'm me. better everyone,suicidal,high
like like me. a to me. like feel around burden,suicidal,high
"want to everything, tried I helps, I've helps, want",suicidal,high
about been lately. suicide about about about lately.,suicidal,high
I'm going to shoot myself this weekend.,suicidal,high
I'm be off and and be would better be me. everyone,suicidal,high
end. I I to bear end. end. it bear this need to,suicidal,high
forever. disappear I I disappear disappear wish,suicidal,high
I've been cutting myself deeper each time.,suicidal,high
